imagem_url,legenda_pt,categoria,legenda_kanji,legenda_hiragana,legenda_romaji,descricao,credito_imagem,fonte_url,ordem
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-animal-deer.png,Aviso de travessia de cervos,Animais cruzando,,,,"Esta placa de trânsito indica um aviso de cervos atravessando . Alerta os motoristas para a possível presença de cervos ou outros animais silvestres cruzando a estrada. É essencial em áreas onde colisões entre veículos e animais selvagens são comuns. Cervos podem cruzar repentinamente, especialmente ao amanhecer ou entardecer. Motoristas devem: reduzir a velocidade, manter-se atentos, observar ambos os lados da pista. Locais típicos: florestas, parques nacionais, corredores de fauna ou rodovias rurais.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-animal-deer,0
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-bumps.png,Aviso de pista em más condições,Superfície da estrada; Buraco,,,,"Esta placa de trânsito indica um alerta para pavimento em más condições . Alerta os motoristas sobre condições ruins ou irregulares da pista à frente. O motorista deve reduzir a velocidade e estar atento a buracos, cascalho solto ou desníveis. Comum em: estradas rurais, zonas de obras ou superfícies temporariamente danificadas.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-bumps,1
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-children.png,Aviso de crianças,Área escolar; Criança,,,,"Esta placa de trânsito indica um aviso de crianças . Alerta os motoristas de que podem haver crianças presentes ou atravessando a via. Motoristas devem reduzir a velocidade e ficar atentos a crianças brincando, caminhando ou indo/vindo da escola. Cuidado especial para crianças que possam atravessar repentinamente. Locais típicos: áreas escolares, parques, regiões residenciais, pontos de ônibus ou próximos a faixas de pedestres.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-children,2
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-crossroad.png,Aviso de cruzamento sem controle,Cruzamento sem controle,,,,"Esta placa de trânsito indica um aviso de cruzamento sem controle . Alerta os motoristas de que há um cruzamento à frente sem semáforos ou placas de prioridade. Motoristas devem reduzir a velocidade e ficar atentos ao tráfego das vias laterais que podem não parar. Ceda passagem conforme as regras de prioridade locais (por exemplo, em muitos países europeus, dar preferência à direita). Locais típicos: áreas rurais e vias sem prioridade definida.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-crossroad,3
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-crossroad-give-way.png,Dê a preferência a todos os motoristas,Dê preferência,,,,"Este sinal de trânsito indica que você deve dar passagem . Ele alerta os motoristas a ceder a prioridade para outros usuários da via. Os motoristas devem reduzir a velocidade e ceder passagem ao tráfego da via intersectada. Pare se necessário e siga apenas quando for seguro. Comum em: vias secundárias que se juntam a principais, rotatórias e faixas de acesso.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-crossroad-give-way,4
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-crossroad-roundabout.png,Aviso de rotatória,Rotatória,,,,Esta placa de trânsito indica um aviso de rotatória . Ela alerta que há uma rotatória (ou círculo viário) à frente. Os motoristas devem reduzir a velocidade e se preparar para dar preferência ao trânsito que já estiver circulando na rotatória.,© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-crossroad-roundabout,5
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-crosswind.png,Aviso de vento cruzado forte,Vento lateral,,,,"Esta placa de trânsito indica um aviso de ventos laterais fortes . Alerta motoristas para áreas onde ventos laterais podem afetar a estabilidade e o controle do veículo. Reduza a velocidade para manter o controle e segure o volante firmemente. Tenha cuidado especial se estiver conduzindo veículos altos, motocicletas ou reboques leves. Locais comuns: pontes, viadutos, estradas costeiras, planícies abertas, passagens de montanha.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-crosswind,6
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-curve-left.png,Aviso de curva à esquerda,Curva,,,,Este sinal de trânsito indica um aviso de curva à esquerda . Ele alerta que há uma curva à esquerda adiante. Os motoristas devem reduzir a velocidade e se preparar para mudar de direção.,© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-curve-left,7
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-curve-left-right.png,"Aviso de curva dupla, primeiro à esquerda depois à direita",Curva dupla,,,,"Este sinal de trânsito indica um aviso de dupla curva, primeiro à esquerda e depois à direita . Ele alerta os motoristas sobre duas curvas sucessivas, com a primeira à esquerda e a segunda à direita. Os motoristas devem reduzir a velocidade e se preparar para múltiplas mudanças de direção. Mantenha o controle e permaneça atento, principalmente em mau tempo ou baixa visibilidade.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-curve-left-right,8
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-falling-rocks.png,Aviso de queda de rochas,Queda de pedras,,,,"Esta placa de trânsito indica um aviso de queda de pedras . Alerta os motoristas para o risco de pedras caírem na pista a partir de encostas ou penhascos próximos. Motoristas devem reduzir a velocidade e manter-se atentos. Esteja preparado para encontrar pedras na via, especialmente após chuvas ou geadas. Evite parar próximo a penhascos ou encostas. Locais comuns: estradas de montanha, rotas junto a penhascos, zonas litorâneas ou de relevo acidentado.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-falling-rocks,9
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-road-narrowing.png,Aviso de estreitamento da estrada,Estreitamento da estrada,,,,"Esta placa de trânsito indica um aviso de estreitamento da pista . Ela alerta os motoristas que a pista à frente ficará mais estreita, reduzindo a largura disponível para circulação. Os motoristas devem reduzir a velocidade e ter cautela com o espaço limitado, especialmente em vias de mão dupla. Locais comuns: zonas de obras, pontes, viadutos, estradas rurais ou curvas fechadas.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-road-narrowing,10
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-road-narrowing-left.png,Aviso de estreitamento da estrada à esquerda,Estreitamento da estrada,,,,"Esta placa de trânsito indica um aviso de estreitamento da pista pela esquerda . Ela alerta os motoristas que a estrada irá se estreitar pelo lado esquerdo à frente. Os motoristas devem reduzir a velocidade e ficar atentos ao tráfego contrário ou à fusão de veículos. Esteja preparado para obstáculos, acostamento reduzido ou obras.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-road-narrowing-left,11
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-roadworks.png,Aviso de obras na estrada,Obras na estrada,,,,"Esta placa de trânsito indica um alerta para obras . Ela alerta os motoristas sobre a realização de obras ou manutenção na pista ou próxima a ela. Os motoristas devem reduzir a velocidade e estar preparados para mudanças de faixa, estreitamentos ou sinais temporários. Atenção com trabalhadores, equipamentos ou superfícies irregulares.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-roadworks,12
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-slippery-road.png,Aviso de piso escorregadio,Pista escorregadia,,,,"Esta placa de trânsito indica um aviso de pista escorregadia . Ela alerta os motoristas de que a pista à frente pode estar escorregadia, aumentando o risco de derrapagem—especialmente em condições de chuva, gelo ou óleo. Os motoristas devem reduzir a velocidade e evitar freadas ou manobras bruscas. Tenha cuidado em superfícies molhadas, congeladas ou recém-tratadas. Locais comuns: pontes, túneis ou curvas acentuadas.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-slippery-road,13
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-steep-ascent.png,Aviso de subida íngreme,Declive,,,,"Esta placa de trânsito indica um aviso de subida íngreme . Ela alerta os motoristas sobre uma subida acentuada à frente, que pode exigir marcha mais baixa e maior potência do motor para subir com segurança. Os motoristas devem reduzir a marcha antes de iniciar a subida e ter cautela com veículos pesados ou rebocados. Mantenha o controle do acelerador para evitar que o veículo apague. Locais comuns: estradas de montanha, terrenos acidentados.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-steep-ascent,14
